Titre,Auteur
Le Petit Prince,Antoine de Saint-Exupéry
1984,George Orwell
Moby git@github.com:mangelett/tse-git-python-draft.gitDick,Herman Melville
L'Étranger,Albert Camus
Congo,David van Reybrouck
Eragon,Christopher Paolini
An unwritten biography,Maximilian Mueller
Harry Potter 1, J. K. Rowling
Harry Potter 2, J. K. Rowling
L'assommoir, Emile Zola
The Year of Magical Thinking, Joan Didion
The Vanquished, Robert Gerwarth
Les Misérables, Victor Hugo
The Death of Bunny Munro, Nick Cave
La quête d'Ewilan, Pierre Bottero
Les trois mousquetaires, Alexandre Dumas
Darkness at Noon, Arthur Koestler
Divina Commedia, Dante Alighieri
